Time,Temperature
6/3/2023 20:09,73°
2023-06-03 20:10:02,74°
2023-06-03 20:10:04,74°
2023-06-03 20:11:03,74°
2023-06-03 20:11:05,74°
2023-06-03 20:12:02,73°
2023-06-03 20:12:03,73°
2023-06-03 20:13:02,73°
2023-06-03 20:13:04,74°
2023-06-03 20:14:01,73°
2023-06-03 20:14:02,73°
2023-06-03 20:15:02,73°
2023-06-03 20:15:04,73°
2023-06-03 20:16:01,74°
2023-06-03 20:16:02,74°
2023-06-03 20:17:01,74°
2023-06-03 20:17:02,74°
2023-06-03 20:18:02,74°
2023-06-03 20:18:02,74°
2023-06-03 20:19:01,73°
2023-06-03 20:19:02,73°
2023-06-03 20:20:01,74°
2023-06-03 20:20:01,74°
2023-06-03 20:21:03,73°
2023-06-03 20:21:04,73°
2023-06-03 20:22:00,73°
2023-06-03 20:22:01,73°
2023-06-03 20:23:00,73°
2023-06-03 20:23:01,73°
2023-06-03 20:24:01,73°
2023-06-03 20:24:01,73°
2023-06-03 20:25:02,73°
2023-06-03 20:25:04,73°
2023-06-03 20:26:02,72°
2023-06-03 20:26:03,72°
2023-06-03 20:27:01,73°
2023-06-03 20:27:02,73°
2023-06-03 20:28:02,72°
2023-06-03 20:28:04,72°
2023-06-03 20:29:03,73°
2023-06-03 20:29:04,73°
2023-06-03 20:30:03,73°
2023-06-03 20:30:04,73°
2023-06-03 20:31:03,72°
2023-06-03 20:31:05,72°
2023-06-04 08:55:37,59°
2023-06-04 08:55:37,59°
2023-06-04 08:55:38,59°
2023-06-04 08:55:39,59°
2023-06-04 08:55:39,59°
2023-06-04 08:55:40,59°
2023-06-04 08:55:40,59°
2023-06-04 08:55:40,59°
2023-06-04 08:55:41,59°
2023-06-04 08:55:41,59°
2023-06-04 08:55:41,59°
2023-06-04 08:55:42,59°
2023-06-04 08:55:42,59°
2023-06-04 08:55:43,59°
2023-06-04 08:55:43,59°
2023-06-04 08:55:44,59°
2023-06-04 08:55:44,59°
2023-06-04 08:55:44,59°
2023-06-04 08:55:45,59°
2023-06-04 08:55:46,59°
2023-06-04 08:55:46,59°
2023-06-04 08:55:46,59°
2023-06-04 08:55:47,59°
2023-06-04 08:55:47,59°
2023-06-04 08:55:48,59°
2023-06-04 08:55:48,59°
2023-06-04 08:55:49,59°
2023-06-04 08:55:49,59°
2023-06-04 08:55:50,59°
2023-06-04 08:55:50,59°
2023-06-04 08:55:51,59°
2023-06-04 08:55:51,59°
2023-06-04 08:55:51,59°
2023-06-04 08:55:51,59°
2023-06-04 08:55:52,59°
2023-06-04 08:55:52,59°
2023-06-04 08:55:52,59°
2023-06-04 08:55:53,59°
2023-06-04 08:55:53,59°
2023-06-04 08:55:53,59°
2023-06-04 08:55:54,59°
2023-06-04 08:55:54,59°
2023-06-04 08:55:54,59°
2023-06-04 08:55:54,59°
2023-06-04 08:55:55,59°
2023-06-04 08:55:55,59°
2023-06-04 08:55:56,59°
2023-06-04 08:55:56,59°
2023-06-04 08:55:56,59°
2023-06-04 08:55:57,59°
2023-06-04 08:55:57,59°
2023-06-04 08:55:58,59°
2023-06-04 08:55:59,59°
2023-06-04 08:55:59,59°
2023-06-04 08:55:59,59°
2023-06-04 08:55:59,59°
2023-06-04 08:56:00,59°
2023-06-04 08:56:00,59°
2023-06-04 08:56:00,59°
2023-06-04 08:56:01,59°
2023-06-04 08:56:01,59°
2023-06-04 08:56:01,59°
2023-06-04 08:56:02,59°
2023-06-04 08:56:02,59°
2023-06-04 08:56:02,59°
2023-06-04 08:56:02,59°
2023-06-04 08:56:03,59°
2023-06-04 08:56:03,59°
2023-06-04 08:56:03,59°
2023-06-04 08:56:04,59°
2023-06-04 08:56:04,59°
2023-06-04 08:56:04,59°
2023-06-04 08:56:05,59°
2023-06-04 08:56:05,59°
2023-06-04 08:56:05,59°
2023-06-04 08:56:05,59°
2023-06-04 08:56:06,59°
2023-06-04 08:56:06,59°
2023-06-04 08:56:06,59°
2023-06-04 08:56:07,59°
2023-06-04 08:56:07,59°
2023-06-04 08:56:07,59°
2023-06-04 08:56:08,59°
2023-06-04 08:56:08,59°
2023-06-04 08:56:08,59°
2023-06-04 08:56:08,59°
2023-06-04 08:56:09,59°
2023-06-04 08:56:09,59°
2023-06-04 08:56:09,59°
2023-06-04 08:56:10,59°
2023-06-04 08:56:10,59°
2023-06-04 08:56:10,59°
2023-06-04 08:56:11,59°
2023-06-04 08:56:11,59°
2023-06-04 08:56:11,59°
2023-06-04 08:56:11,59°
2023-06-04 08:56:12,59°
2023-06-04 08:56:12,59°
2023-06-04 08:56:12,59°
2023-06-04 08:56:13,59°
2023-06-04 08:56:13,59°
2023-06-04 08:56:13,59°
2023-06-04 08:56:14,59°
2023-06-04 08:56:15,59°
2023-06-04 08:56:15,59°
2023-06-04 08:56:15,59°
2023-06-04 08:56:16,59°
2023-06-04 08:56:16,59°
2023-06-04 08:56:16,59°
2023-06-04 08:56:16,59°
2023-06-04 08:56:17,59°
2023-06-04 08:56:17,59°
2023-06-04 08:56:17,59°
2023-06-04 08:56:18,59°
2023-06-04 08:56:18,59°
2023-06-04 08:56:19,59°
2023-06-04 08:56:19,59°
2023-06-04 08:56:19,59°
2023-06-04 08:56:20,59°
2023-06-04 08:56:20,59°
2023-06-04 08:56:21,59°
2023-06-04 08:56:21,59°
2023-06-04 08:56:21,59°
2023-06-04 08:56:22,59°
2023-06-04 08:56:22,59°
2023-06-04 08:56:23,59°
2023-06-04 08:56:23,59°
2023-06-04 08:56:24,59°
2023-06-04 08:56:24,59°
2023-06-04 08:56:24,59°
2023-06-04 08:56:25,59°
2023-06-04 08:56:25,59°
2023-06-04 08:56:25,59°
2023-06-04 08:56:26,59°
2023-06-04 08:56:27,59°
2023-06-04 08:56:27,59°
2023-06-04 08:56:27,59°
2023-06-04 08:56:28,59°
2023-06-04 08:56:28,59°
2023-06-04 08:56:28,59°
2023-06-04 08:56:29,59°
2023-06-04 08:56:29,59°
2023-06-04 08:56:29,59°
2023-06-04 08:56:30,59°
2023-06-04 08:56:30,59°
2023-06-04 08:56:31,59°
2023-06-04 08:56:31,59°
2023-06-04 08:56:31,59°
2023-06-04 08:56:32,59°
2023-06-04 08:56:32,59°
2023-06-04 08:56:33,59°
2023-06-04 08:56:33,59°
2023-06-04 08:56:33,59°
2023-06-04 08:56:34,59°
2023-06-04 08:56:34,59°
2023-06-04 08:56:35,59°
2023-06-04 08:56:35,59°
2023-06-04 08:56:35,59°
2023-06-04 08:56:36,59°
2023-06-04 08:56:36,59°
2023-06-04 08:56:37,59°
2023-06-04 08:56:37,59°
2023-06-04 08:56:38,59°
2023-06-04 08:56:38,59°
2023-06-04 08:56:39,59°
2023-06-04 08:56:39,59°
2023-06-04 08:56:39,59°
2023-06-04 08:56:40,59°
2023-06-04 08:56:40,59°
2023-06-04 08:56:41,59°
2023-06-04 08:56:41,59°
2023-06-04 08:56:41,59°
2023-06-04 08:56:42,59°
2023-06-04 08:56:42,59°
2023-06-04 08:56:43,59°
2023-06-04 08:56:43,59°
2023-06-04 08:56:43,59°
2023-06-04 08:56:44,59°
2023-06-04 08:56:44,59°
2023-06-04 08:56:45,59°
2023-06-04 08:56:45,59°
2023-06-04 08:56:45,59°
2023-06-04 08:56:46,59°
2023-06-04 08:56:46,59°
2023-06-04 08:56:46,59°
2023-06-04 08:56:47,59°
2023-06-04 08:56:47,59°
2023-06-04 08:56:48,59°
2023-06-04 08:56:48,59°
2023-06-04 08:56:49,59°
2023-06-04 08:56:49,59°
2023-06-04 08:56:50,59°
2023-06-04 08:56:50,59°
2023-06-04 08:56:50,59°
2023-06-04 08:56:51,59°
2023-06-04 08:56:51,59°
2023-06-04 08:56:51,59°
2023-06-04 08:56:52,59°
2023-06-04 08:56:52,59°
2023-06-04 08:56:53,59°
2023-06-04 08:56:53,59°
2023-06-04 08:56:53,59°
2023-06-04 08:56:54,59°
2023-06-04 08:56:54,59°
2023-06-04 08:56:55,59°
2023-06-04 08:56:55,59°
2023-06-04 08:56:55,59°
2023-06-04 08:56:56,59°
2023-06-04 08:56:56,59°
2023-06-04 08:56:56,59°
2023-06-04 08:56:57,59°
2023-06-04 08:56:57,59°
2023-06-04 08:56:58,59°
2023-06-04 08:56:58,59°
2023-06-04 08:56:59,59°
2023-06-04 08:56:59,59°
2023-06-04 08:56:59,59°
2023-06-04 08:57:00,59°
2023-06-04 08:57:00,59°
2023-06-04 08:57:00,59°
2023-06-04 08:57:01,59°
2023-06-04 08:57:01,59°
2023-06-04 08:57:02,59°
2023-06-04 08:57:02,59°
2023-06-04 08:57:03,59°
2023-06-04 08:57:03,59°
2023-06-04 08:57:03,59°
2023-06-04 08:57:04,59°
2023-06-04 08:57:04,59°
2023-06-04 08:57:05,59°
2023-06-04 08:57:06,59°
2023-06-04 08:57:06,59°
2023-06-04 08:57:07,59°
2023-06-04 08:57:07,59°
2023-06-04 08:57:08,59°
2023-06-04 08:57:08,59°
2023-06-04 08:57:08,59°
2023-06-04 08:57:08,59°
2023-06-04 08:57:09,59°
2023-06-04 08:57:09,59°
2023-06-04 08:57:09,59°
2023-06-04 08:57:09,59°
2023-06-04 08:57:10,59°
2023-06-04 08:57:10,59°
2023-06-04 08:57:10,59°
2023-06-04 08:57:11,59°
2023-06-04 08:57:11,59°
2023-06-04 08:57:11,59°
2023-06-04 08:57:12,59°
2023-06-04 08:57:12,59°
2023-06-04 08:57:12,59°
2023-06-04 08:57:13,59°
2023-06-04 08:57:13,59°
2023-06-04 08:57:13,59°
2023-06-04 08:57:14,59°
2023-06-04 08:57:14,59°
2023-06-04 08:57:14,59°
2023-06-04 08:57:14,59°
2023-06-04 08:57:15,59°
2023-06-04 08:57:15,59°
2023-06-04 08:57:16,59°
2023-06-04 08:57:16,59°
2023-06-04 08:57:16,59°
2023-06-04 08:57:16,59°
2023-06-04 08:57:17,59°
2023-06-04 08:57:17,59°
2023-06-04 08:57:17,59°
2023-06-04 08:57:18,59°
2023-06-04 08:57:18,59°
2023-06-04 08:57:18,59°
2023-06-04 08:57:19,59°
2023-06-04 08:57:19,59°
2023-06-04 08:57:19,59°
2023-06-04 08:57:19,59°
2023-06-04 08:57:20,59°
2023-06-04 08:57:20,59°
2023-06-04 08:57:20,59°
2023-06-04 08:57:21,59°
2023-06-04 08:57:21,59°
2023-06-04 08:57:21,59°
2023-06-04 08:57:22,59°
2023-06-04 08:57:22,59°
2023-06-04 08:57:22,59°
2023-06-04 08:57:22,59°
2023-06-04 08:57:23,59°
2023-06-04 08:57:23,59°
2023-06-04 08:57:23,59°
2023-06-04 08:57:24,59°
2023-06-04 08:57:24,59°
2023-06-04 08:57:24,59°
2023-06-04 08:57:24,59°
2023-06-04 08:57:25,59°
2023-06-04 08:57:25,59°
2023-06-04 08:57:25,59°
2023-06-04 08:57:26,59°
2023-06-04 08:57:26,59°
2023-06-04 08:57:26,59°
2023-06-04 08:57:27,59°
2023-06-04 08:57:27,59°
2023-06-04 08:57:27,59°
2023-06-04 08:57:27,59°
2023-06-04 08:57:28,59°
2023-06-04 08:57:28,59°
2023-06-04 08:57:28,59°
2023-06-04 08:57:29,59°
2023-06-04 08:57:29,59°
2023-06-04 08:57:29,59°
2023-06-04 08:57:30,59°
2023-06-04 08:57:30,59°
2023-06-04 08:57:30,59°
2023-06-04 08:57:30,59°
2023-06-04 08:57:31,59°
2023-06-04 08:57:31,59°
2023-06-04 08:57:32,59°
2023-06-04 08:57:32,59°
2023-06-04 08:57:32,59°
2023-06-04 08:57:32,59°
2023-06-04 08:57:33,59°
2023-06-04 08:57:33,59°
2023-06-04 08:57:33,59°
2023-06-04 08:57:34,59°
2023-06-04 08:57:34,59°
2023-06-04 08:57:34,59°
2023-06-04 08:57:35,59°
2023-06-04 08:57:35,59°
2023-06-04 08:57:35,59°
2023-06-04 08:57:36,59°
2023-06-04 08:57:36,59°
2023-06-04 08:57:36,59°
2023-06-04 08:57:37,59°
2023-06-04 08:57:37,59°
2023-06-04 08:57:38,59°
2023-06-04 08:57:38,59°
